id,Clone,Treatment,group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35
27,17,G,17_G,0.201316546,-0.084653564,-0.005793135,-0.0861888,-0.075381858,-0.108112875,-0.032586049,0.089486758,-0.081595492,-0.046091489,0.010314948,-0.020189063,0.04652033,0.031747045,0.15538463,-0.079198241,-0.016629303,0.000688995,0.013702744,0.018031133,-0.013415866,-0.010243371,0.00174118,-0.022030877,0.00442429,0.07087858,-0.010826673,0.065902866,-0.035121389,-0.019261413,-0.009355735,-0.025847367,-0.008351696,-0.00636329,-0.009679715
28,18,G,18_G,-0.002215252,0.008578369,0.047452425,0.147533497,-0.023948739,0.031044815,0.00849206,0.078223731,0.044556152,-0.048621904,0.00137684,-0.002103239,0.034495114,0.053918726,0.041342421,-0.114332541,0.010366289,0.025155222,0.04297232,-0.041802565,0.030164386,-0.031574436,0.088437436,-0.01643591,-0.00634489,-0.067291456,0.023054768,-0.018024531,-0.013013439,0.039243088,0.047877574,0.010466385,-0.004923129,0.027521838,0.006150695
29,19,G,19_G,0.00530099,-0.007127734,-0.12110161,-0.038668061,-0.220760345,-0.149378693,0.171614148,-0.198320916,-0.093440197,-0.053679246,-0.126974007,0.044164379,0.057996749,0.070331016,-0.069300167,-0.021187906,-0.006485641,-0.02722506,0.001942148,-0.012214625,-0.052494895,0.017825093,0.025392719,-0.020879404,0.010990833,-0.005003348,-0.00491902,-0.049055146,-0.000211346,0.002338323,-0.00252023,0.00317444,-0.00461891,-0.002884325,-0.004176266
30,2,G,2_G,0.068068294,0.264279827,0.152205411,-0.114182039,0.068147773,0.037972867,0.041841366,0.033881356,-0.065448766,0.062410152,-0.015414993,0.059352516,-0.014357823,-0.026505198,-0.030653383,0.008497892,0.063576332,0.00267595,-0.024411493,0.038346926,-0.042120596,-0.01279901,-0.011187901,0.016113714,0.026301959,-0.024597125,-0.001634435,-0.00367591,-0.00840289,0.026078595,-0.001863598,-0.026435849,0.026587431,0.007744316,-0.015600461
31,20,G,20_G,-0.119290095,0.076298466,0.038760472,-0.059298103,-0.084761224,0.077398945,-0.149587779,-0.090281266,-0.041512736,-0.018106209,0.019610074,0.007262937,-0.03323213,-0.127235741,0.010803174,-0.055738186,-0.04513016,0.079019471,0.068775709,0.058122453,-0.07239616,-0.05133595,-0.04516236,-0.062879996,0.029062651,-0.001982751,0.014496313,-0.038714728,0.005337521,-0.031010143,0.007436012,0.002661732,-0.004059546,-0.002786533,0.015836035
32,21,G,21_G,0.186917559,-0.233757237,-0.00505461,-0.075693407,-0.064110832,-0.030185689,0.061728925,-0.015008069,0.133114861,0.000618016,0.032587378,-0.007100853,-0.153055072,-0.085860195,-0.030626447,-0.018709514,0.059097735,-0.005396834,-0.011705814,0.010384607,0.002459968,0.003802257,0.063036558,-0.004934845,0.037745916,0.003300832,-0.025035335,0.007162357,0.022536259,0.019235144,-0.00619335,-0.042049351,-0.020903871,0.002058257,-0.000824112
33,24,G,24_G,0.011558388,-0.012977402,0.31691817,0.212019258,-0.104459624,-0.00914689,0.007659099,-0.105691284,-0.028618348,0.0023644,0.045548774,-0.033930965,-0.020852006,-0.032355974,0.041909677,0.031537935,0.034296381,-0.097097794,0.045043935,0.033006103,0.081386794,-0.050055341,0.007168178,-0.006130153,-0.061441165,0.000989955,-0.037967891,-0.021456259,0.013828775,-0.040026724,-0.023947533,0.0137831,0.000231478,-4.60E-05,-0.008934362
34,25,G,25_G,-0.183861148,-0.054325555,0.060230118,-0.091076319,0.046453274,-0.222698377,-0.145609574,0.001285296,0.007234593,0.128062958,-0.000937241,0.01915749,0.036632767,-0.024306982,0.013636511,-0.03821597,-0.033492215,-0.094888957,0.020968112,0.052105733,-0.02414455,-0.01588065,0.005841332,0.003494545,-0.019704065,-0.036125779,0.053415587,-0.001677269,0.001554352,0.030541132,0.019382742,-0.000391154,0.002280356,0.003214393,-0.010895587
35,26,G,26_G,0.002704262,0.093915456,-0.032572763,0.083892639,-0.034890222,0.028309941,-0.104940336,-0.005430213,-0.01012764,-0.119647507,0.057227648,-0.117169453,-0.022995438,0.043445851,-0.009307592,-0.017465325,-0.111013961,-0.008656513,0.037803,0.00400843,-0.047125805,0.059722208,-0.018767421,0.123462465,0.02982084,-0.008293235,-0.005942686,-0.012507095,0.037722705,0.026753163,-0.028133604,-0.003184945,0.003114229,0.002773052,-0.011469669
36,27,G,27_G,0.011043914,-0.113298935,0.216703151,0.089832439,0.005531872,0.019584638,0.005151541,-0.056288199,-0.084760204,0.119455415,-0.015480519,0.117070999,0.018129519,0.103523426,-0.021744618,-0.050501663,-0.048451223,0.047344476,0.005164745,-0.04698867,0.018993692,-0.013752636,-0.024944922,0.064484752,0.021458375,0.012994376,0.001968401,0.033121333,0.0227266,-0.006145382,0.010616501,-0.042965827,-0.011005277,-0.010158734,0.015792187
37,28,G,28_G,-0.342051514,-0.05017091,0.117260369,0.04144587,0.240563967,-0.145486938,0.105314415,-0.025123444,-0.009430749,-0.147186611,0.085152362,0.044789083,-0.002511414,0.00809533,-0.005423227,0.047793112,-0.064051998,0.075731653,-0.081162258,0.00076478,-0.016394999,-0.060949783,0.01301016,-0.029000075,0.016602709,0.023188374,-0.013210158,0.009357292,0.017292822,-0.008186335,0.010069919,0.008095729,-0.001320062,0.004528073,-0.007597359
38,3,G,3_G,-0.137964298,-0.012305517,0.035695035,-0.035451698,-0.141756029,-0.034558061,0.009797449,0.004023101,0.008536694,-0.023186199,-0.027176084,-0.082823769,-0.043063982,-0.017576156,0.036811739,-0.027398215,0.082846108,0.077406237,-0.069215408,-0.003427467,0.047518606,0.017087408,0.018518834,0.026837894,-0.011050948,-0.012020792,0.074786113,0.01975088,0.053517092,-0.002186197,0.024114643,0.022651783,0.029733259,-0.030878822,-0.001303937
39,4,G,4_G,-0.056399206,0.049008153,0.038264413,-0.114989321,-0.023486377,0.071810867,-0.056015051,0.016571266,0.042253477,0.027482719,-0.055110386,0.04991805,0.110471734,-0.005872675,0.037038118,0.041883465,-0.073350283,0.050230293,0.040936537,-0.063880535,0.094007918,0.062614533,0.040472073,-0.083097898,0.028336469,-0.004315201,-0.014138954,0.001621896,0.042401953,0.00694085,-0.048684847,0.004607211,0.013102854,0.001857112,-0.006536934
40,9,G,9_G,0.014438364,-0.082634587,0.095081398,-0.153283635,0.082318826,0.12036079,0.016356525,0.066342696,-0.060814773,0.030513034,0.042889597,0.004161856,0.111319968,-0.004898245,-0.027844684,0.021774329,0.016264407,-0.061026984,-0.035695546,0.055871788,-0.033367155,-0.002695607,0.113635941,0.045789941,0.022627694,-0.009279979,0.003551076,-0.016089188,-0.021745,-0.018381537,-0.022422083,0.028851123,-0.003691028,-0.014187058,0.01067548
