clone,replicate,treatment,survival_day0,survival_day7,survival_day14,survival_day21,neonates_day0,neonates_day7,neonates_day14,neonates_day21,neonates_total,neonates_divided_allmoms,Fbroods,Tbroods
Clone 18,B,3:1toxic,15,12,10,7,0,0,36,40,76,5.066666667,9,6
Clone 18,C,3:1toxic,15,12,9,9,0,0,11,9,20,1.333333333,9,6
Clone 19,A,3:1toxic,15,11,10,9,0,0,11,3,14,0.933333333,11,3
Clone 19,B,3:1toxic,15,12,10,10,0,0,21,49,70,4.666666667,9,5
Clone 19,C,3:1toxic,15,12,11,11,0,0,17,14,31,2.066666667,9,4
Clone 20,A,3:1toxic,15,13,13,13,0,0,21,29,50,3.333333333,11,4
Clone 20,B,3:1toxic,15,15,14,14,0,0,15,19,34,2.266666667,11,4
Clone 20,C,3:1toxic,15,15,15,15,0,0,22,21,43,2.866666667,11,4
Clone 21,A,3:1toxic,15,12,9,6,0,0,42,23,65,4.333333333,9,6
Clone 21,B,3:1toxic,15,12,9,7,0,0,54,18,72,4.8,9,5
Clone 21,C,3:1toxic,15,11,8,3,0,0,26,8,34,2.266666667,9,5
Clone 24,A,3:1toxic,15,15,15,15,0,0,1,14,15,1,11,3
Clone 24,B,3:1toxic,15,14,14,13,0,0,16,28,44,2.933333333,11,4
Clone 24,C,3:1toxic,15,15,15,14,0,0,9,19,28,1.866666667,11,3
Clone 25,A,3:1toxic,15,13,12,12,0,0,12,26,38,2.533333333,11,5
Clone 25,B,3:1toxic,15,13,13,13,0,0,13,18,31,2.066666667,9,6
Clone 25,C,3:1toxic,15,12,12,11,0,0,8,19,27,1.8,11,4
Clone 26,A,3:1toxic,15,13,13,12,0,0,31,26,57,3.8,9,5
Clone 26,B,3:1toxic,15,12,12,12,0,0,32,58,90,6,9,6
Clone 26,C,3:1toxic,15,15,15,15,0,0,23,24,47,3.133333333,9,5
Clone 27,A,3:1toxic,15,14,14,13,0,0,55,39,94,6.266666667,9,6
Clone 27,B,3:1toxic,15,15,13,11,0,0,56,56,112,7.466666667,9,6
Clone 27,C,3:1toxic,15,13,13,12,0,0,49,47,96,6.4,9,6
Clone 28,A,3:1toxic,15,14,12,12,0,0,0,4,4,0.266666667,19,1
Clone 28,B,3:1toxic,15,15,15,12,0,0,0,3,3,0.2,19,2
Clone 28,C,3:1toxic,15,11,11,10,0,0,2,7,9,0.6,11,3
